name;rating;convenience;security;functionality;comment
Путепровод 49;5.0;3;3;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Хаус 80;4.9;4;5;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Коттедж 44;2.7;1;4;4;Это здание построено из стандартных строительных материалов.
Чердак 89;4.4;2;1;1;Это здание имеет стандартную конструкцию.
Муравейник 92;4.0;5;1;4;Это здание является примером функционального дизайна.
Порт 4;1.1;2;3;1;Мне нравится дизайн этого здания.
Бункер 39;4.2;5;1;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Док 39;4.6;3;3;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Чердак 89;2.2;3;4;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Скворечник 47;1.1;2;2;3;Это здание является примером функционального дизайна.
ТЭЦ 61;3.8;4;4;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Чердак 89;0.3;2;3;2;Это великолепное здание!
Ресторан 7;4.7;4;4;2;Это здание имеет стандартную конструкцию.
Скворечник 47;3.9;5;4;2;Это здание имеет стандартную конструкцию.
Силок 64;4.0;3;4;3;Это здание является примером функционального дизайна.
Детский сад 62;3.3;5;2;1;Это здание является примером функционального дизайна.
Университет 52;4.4;1;4;1;Это здание является примером функционального дизайна.
Виадук 40;2.4;1;1;4;Мне нравится дизайн этого здания.
Дуплянка 76;2.2;4;1;2;Это здание построено из стандартных строительных материалов.
Гусятник 3;0.8;3;1;1;Это здание прекрасно вписывается в окружающий ландшафт.
Порт 4;4.3;5;1;3;Это великолепное здание!
Порт 4;1.7;3;3;1;Это здание построено из стандартных строительных материалов.
Коттедж 44;2.6;1;2;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Ресторан 7;2.9;4;3;4;У этого здания отличная архитектура.
Театр 95;4.1;1;5;3;Это здание не имеет особых архитектурных особенностей.
Утятник 39;2.2;1;2;1;Это здание является примером функционального дизайна.
Ангар 29;1.6;1;3;3;Это здание построено из стандартных строительных материалов.
Мостки 79;2.6;1;4;2;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Академия 83;2.5;3;5;1;Мне нравится дизайн этого здания.
Институт 79;3.4;5;5;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Порт 4;1.1;4;3;3;Это здание представляет собой типичный образец современной архитектуры.
Утятник 39;3.6;5;1;5;Это здание представляет собой типичный образец современной архитектуры.
Лежбище 4;2.2;5;1;1;Это здание построено из стандартных строительных материалов.
Детский сад 18;3.9;3;1;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Утятник 39;2.9;3;3;1;Это здание представляет собой типичный образец современной архитектуры.
Мансарда 79;2.0;1;5;3;Это здание представляет собой типичный образец современной архитектуры.
Переправа 83;3.3;5;3;2;Это здание построено из стандартных строительных материалов.
Сеть 95;2.4;1;4;3;Это здание имеет стандартную конструкцию.
Муравейник 92;0.3;1;1;2;Это здание имеет стандартную конструкцию.
Цирк 47;1.0;3;3;5;Это здание построено из стандартных строительных материалов.
Сеть 95;2.6;5;1;5;Мне нравится дизайн этого здания.
Верблюжатник 72;1.4;4;2;1;Это здание имеет стандартную конструкцию.
Чердак 89;4.6;2;3;3;Это здание имеет стандартную конструкцию.
Док 20;4.7;4;2;5;Это здание не имеет особых архитектурных особенностей.
Док 39;1.8;3;5;1;Это здание представляет собой типичный образец современной архитектуры.
Путепровод 49;2.9;1;3;3;Это здание не имеет особых архитектурных особенностей.
Док 39;1.0;2;2;1;Это здание имеет стандартную конструкцию.
Термитник 49;2.0;3;1;4;Это здание представляет собой типичный образец современной архитектуры.
Мансарда 79;0.9;1;3;3;Это здание является примером функционального дизайна.
Бункер 39;3.9;2;1;1;Это здание является примером функционального дизайна.
Особняк 60;4.2;5;3;2;Это здание прекрасно вписывается в окружающий ландшафт.
Скворечник 47;4.5;3;1;4;Это здание не имеет особых архитектурных особенностей.
Термитник 49;0.2;1;2;5;Это здание имеет стандартную конструкцию.
Цирк 24;1.5;4;5;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Особняк 60;3.9;4;3;4;Это здание имеет стандартную конструкцию.
Утятник 39;0.5;1;3;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Термитник 49;1.1;4;3;3;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Логово 46;0.4;1;5;4;Это здание построено из стандартных строительных материалов.
Бункер 39;2.8;2;2;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Ферма 90;0.1;4;1;1;Это здание очень функционально.
Причал 21;0.1;3;1;5;Это здание имеет стандартную конструкцию.
Скворечник 47;4.8;4;4;1;Мне нравится дизайн этого здания.
Бункер 60;5.0;2;2;4;У этого здания отличная архитектура.
Муравейник 92;0.7;1;3;4;Мне нравится дизайн этого здания.
Гараж 6;2.1;5;5;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Архив 58;2.7;2;1;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Особняк 89;2.9;2;1;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Ресторан 7;0.1;2;4;5;Это здание является примером функционального дизайна.
Больница 9;2.9;4;4;1;Это здание построено из стандартных строительных материалов.
Замок 41;1.0;2;1;2;Мне нравится дизайн этого здания.
Мансарда 79;3.2;2;4;5;Это здание не имеет особых архитектурных особенностей.
Дуплянка 76;4.7;2;2;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Театр 95;0.8;4;1;2;Это великолепное здание!
Цирк 11;1.4;1;4;4;Это здание является примером функционального дизайна.
Бункер 60;4.7;5;5;1;Это здание является примером функционального дизайна.
Муравейник 92;3.8;3;3;5;Это здание имеет стандартную конструкцию.
Хаус 80;4.6;1;1;4;Это здание очень функционально.
Академия 83;1.1;4;3;2;Это здание прекрасно вписывается в окружающий ландшафт.
Цирк 11;0.6;4;2;1;Это здание построено из стандартных строительных материалов.
Док 39;3.9;5;5;5;Это великолепное здание!
Убежище 86;1.0;1;1;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Цирк 11;3.6;2;1;1;Это здание прекрасно вписывается в окружающий ландшафт.
Логово 46;0.7;2;4;3;Это здание представляет собой типичный образец современной архитектуры.
Бункер 60;5.0;2;1;1;Это здание не имеет особых архитектурных особенностей.
Утятник 39;3.2;1;2;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Верфь 58;4.7;5;2;2;Это здание представляет собой типичный образец современной архитектуры.
Виадук 40;2.3;3;3;1;Это здание имеет стандартную конструкцию.
Утятник 39;0.3;1;4;2;У этого здания отличная архитектура.
Скворечник 47;2.6;4;3;5;Это здание не имеет особых архитектурных особенностей.
Бункер 39;4.0;1;2;4;Это здание является примером функционального дизайна.
Термитник 49;0.5;5;2;4;Это здание прекрасно вписывается в окружающий ландшафт.
Причал 21;1.3;1;4;4;Это здание очень функционально.
Улей 62;1.3;4;3;2;Это здание является примером функционального дизайна.
Детский сад 18;2.0;2;3;4;Это великолепное здание!
Цирк 11;2.4;3;2;2;Это здание очень функционально.
Гараж 6;4.7;2;2;4;У этого здания отличная архитектура.
Тенета 79;1.6;3;2;3;Это здание построено из стандартных строительных материалов.
Муравейник 83;0.6;5;1;2;Это здание является примером функционального дизайна.
Дуплянка 76;4.9;1;1;5;Это великолепное здание!
Логово 46;2.7;2;2;4;Это здание построено из стандартных строительных материалов.
Муравейник 92;3.7;4;5;1;Это здание имеет стандартную конструкцию.
Институт 79;4.4;5;2;1;Это здание очень функционально.
Особняк 89;1.8;5;1;4;Это здание имеет стандартную конструкцию.
Институт 79;0.9;5;4;5;Это здание построено из стандартных строительных материалов.
Док 39;5.0;5;1;2;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Логово 46;3.9;3;4;1;Это великолепное здание!
Виадук 40;1.0;5;2;4;Это здание построено из стандартных строительных материалов.
Путепровод 49;3.5;2;5;1;Это здание имеет стандартную конструкцию.
Цирк 47;1.8;5;3;3;Мне нравится дизайн этого здания.
Утятник 39;1.8;3;4;3;Это здание построено из стандартных строительных материалов.
Верблюжатник 72;2.1;5;1;2;Это здание представляет собой типичный образец современной архитектуры.
Институт 79;5.0;4;4;5;Это здание построено из стандартных строительных материалов.
Термитник 49;2.0;3;1;4;Это здание является примером функционального дизайна.
Убежище 86;1.9;3;4;5;Это здание представляет собой типичный образец современной архитектуры.
Супермаркет 25;2.9;2;2;5;Это здание построено из стандартных строительных материалов.
Скворечник 47;1.2;1;5;2;Это здание представляет собой типичный образец современной архитектуры.
Виадук 40;0.6;4;3;1;Это здание построено из стандартных строительных материалов.
Больница 9;4.1;3;2;3;Это здание не имеет особых архитектурных особенностей.
ТЭЦ 61;3.7;4;5;3;Мне нравится дизайн этого здания.
 Вилла 78;2.7;4;5;2;Это здание не имеет особых архитектурных особенностей.
Театр 40;5.0;5;3;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Супермаркет 25;1.6;1;5;3;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Тенета 79;2.6;5;5;4;Это здание имеет стандартную конструкцию.
Академия 83;2.9;4;5;1;Это здание имеет стандартную конструкцию.
Цирк 11;1.9;3;2;2;Мне нравится дизайн этого здания.
Мансарда 79;2.3;4;5;1;Это великолепное здание!
Ферма 90;1.2;4;3;4;У этого здания отличная архитектура.
Верфь 58;4.8;1;1;2;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Виадук 40;4.3;1;2;1;Это здание представляет собой типичный образец современной архитектуры.
Скворечник 47;4.1;1;2;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
ТЭЦ 61;3.0;1;1;3;Это великолепное здание!
Муравейник 83;0.8;4;5;2;Это здание является примером функционального дизайна.
Архив 58;4.8;3;4;1;Это здание построено из стандартных строительных материалов.
Лежбище 4;2.5;5;1;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Путепровод 49;3.7;2;5;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Чердак 89;4.9;4;2;5;У этого здания отличная архитектура.
Док 39;1.2;1;1;1;Это здание имеет стандартную конструкцию.
Термитник 49;4.4;4;1;4;Это здание представляет собой типичный образец современной архитектуры.
Путепровод 49;2.8;4;5;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Утятник 39;4.0;3;2;3;Это здание представляет собой типичный образец современной архитектуры.
Мостки 79;3.4;3;1;3;Это здание представляет собой типичный образец современной архитектуры.
Верфь 76;2.9;3;2;5;Это здание не имеет особых архитектурных особенностей.
Верблюжатник 72;4.0;2;5;3;Это здание построено из стандартных строительных материалов.
Утятник 39;3.8;3;2;2;Это великолепное здание!
Архив 58;2.4;3;2;1;У этого здания отличная архитектура.
Бункер 60;1.6;4;2;2;Это здание имеет стандартную конструкцию.
Верблюжатник 72;1.4;5;3;1;Это здание прекрасно вписывается в окружающий ландшафт.
Особняк 60;0.1;1;2;2;Это здание является примером функционального дизайна.
Ресторан 7;0.2;5;3;1;Мне нравится дизайн этого здания.
 Вилла 47;1.6;5;3;5;Мне нравится дизайн этого здания.
Дуплянка 76;1.6;3;1;1;Это здание построено из стандартных строительных материалов.
Дуплянка 76;2.5;3;1;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Убежище 86;0.6;3;3;5;Мне нравится дизайн этого здания.
Скворечник 47;0.4;3;4;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Док 39;0.9;3;5;5;Это здание представляет собой типичный образец современной архитектуры.
Детский сад 18;4.3;2;3;4;У этого здания отличная архитектура.
Силок 64;2.0;5;1;5;Это здание имеет стандартную конструкцию.
Коттедж 44;3.4;1;3;5;Это здание представляет собой типичный образец современной архитектуры.
Лежбище 4;4.2;5;1;5;Это здание является примером функционального дизайна.
Бункер 39;0.4;5;5;2;Это здание является примером функционального дизайна.
Порт 4;1.1;2;1;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Бункер 60;2.4;3;2;4;Это здание очень функционально.
 Вилла 78;2.4;5;2;2;У этого здания отличная архитектура.
Мостки 79;4.5;4;2;1;Мне нравится дизайн этого здания.
Виадук 40;4.4;2;3;4;Это здание имеет стандартную конструкцию.
Силок 64;3.0;3;2;2;У этого здания отличная архитектура.
Виадук 40;3.4;2;3;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Муравейник 92;2.0;2;2;4;Мне нравится дизайн этого здания.
Порт 4;0.8;2;2;4;Это здание прекрасно вписывается в окружающий ландшафт.
Термитник 49;4.2;2;1;5;Это здание не имеет особых архитектурных особенностей.
Особняк 60;2.4;4;5;3;Мне нравится дизайн этого здания.
Супермаркет 25;4.1;5;2;2;Это здание представляет собой типичный образец современной архитектуры.
Мансарда 79;0.9;5;3;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Театр 40;1.9;1;4;5;Это здание построено из стандартных строительных материалов.
Особняк 60;4.8;4;2;5;Это здание является примером функционального дизайна.
Супермаркет 25;4.3;5;2;3;Это здание представляет собой типичный образец современной архитектуры.
Цирк 11;2.3;2;2;2;У этого здания отличная архитектура.
Чердак 89;0.7;2;3;5;Это здание представляет собой типичный образец современной архитектуры.
Утятник 39;3.5;1;2;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Замок 41;4.8;3;3;5;Это здание является примером функционального дизайна.
Мостки 79;4.5;5;1;1;Это здание не имеет особых архитектурных особенностей.
Цирк 24;0.9;4;3;5;Это здание очень функционально.
Муравейник 83;0.7;3;1;1;Это здание не имеет особых архитектурных особенностей.
Сеть 95;0.2;4;2;2;У этого здания отличная архитектура.
Силок 64;2.7;2;2;5;Это здание имеет стандартную конструкцию.
Бункер 60;0.1;3;4;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Коттедж 44;3.9;3;3;2;Это здание представляет собой типичный образец современной архитектуры.
Термитник 49;3.3;3;2;2;Это здание прекрасно вписывается в окружающий ландшафт.
Мансарда 79;0.8;5;1;4;Это здание прекрасно вписывается в окружающий ландшафт.
Путепровод 49;0.8;1;2;3;Это великолепное здание!
Больница 9;4.2;5;2;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Хаус 80;4.6;4;2;2;Это здание не имеет особых архитектурных особенностей.
Театр 40;1.5;5;3;5;Это здание представляет собой типичный образец современной архитектуры.
Театр 40;4.7;4;4;4;Это великолепное здание!
Бункер 60;4.9;3;4;1;Это здание построено из стандартных строительных материалов.
Архив 58;3.8;4;4;4;Это здание представляет собой типичный образец современной архитектуры.
Сеть 1;1.6;3;4;4;Это здание является примером функционального дизайна.
Бункер 39;3.6;5;3;1;У этого здания отличная архитектура.
Цирк 11;4.3;5;1;1;У этого здания отличная архитектура.
Детский сад 18;4.1;2;4;5;Это здание имеет стандартную конструкцию.
Порт 4;3.0;1;1;4;Это здание очень функционально.
Док 20;4.4;3;2;3;Это здание представляет собой типичный образец современной архитектуры.
Коттедж 44;0.2;1;3;3;Это здание не имеет особых архитектурных особенностей.
Университет 52;3.2;2;4;1;Это здание прекрасно вписывается в окружающий ландшафт.
Сеть 1;5.0;2;2;1;Это здание является примером функционального дизайна.
Супермаркет 25;1.6;5;4;1;Это здание не имеет особых архитектурных особенностей.
Ангар 29;3.0;5;5;2;Это здание является примером функционального дизайна.
Цирк 47;5.0;5;5;4;У этого здания отличная архитектура.
Сеть 95;2.3;1;2;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Детский сад 18;1.3;2;1;1;Это здание не имеет особых архитектурных особенностей.
Сеть 1;4.1;4;2;5;Это здание очень функционально.
Мостки 79;1.4;3;5;1;Это здание не имеет особых архитектурных особенностей.
Путепровод 49;1.0;4;3;4;Мне нравится дизайн этого здания.
Супермаркет 25;4.3;2;4;2;Это здание является примером функционального дизайна.
Док 39;0.8;3;1;4;Это здание имеет стандартную конструкцию.
Док 39;4.4;1;1;2;Это здание представляет собой типичный образец современной архитектуры.
Хаус 80;2.3;3;3;4;Это здание не имеет особых архитектурных особенностей.
Переправа 83;4.2;4;5;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Цирк 47;4.1;4;4;2;Это здание построено из стандартных строительных материалов.
Виадук 40;0.9;2;3;3;Это здание является примером функционального дизайна.
Больница 9;4.0;1;1;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Ресторан 7;4.5;3;3;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Бункер 60;2.2;1;5;3;Это здание является примером функционального дизайна.
Театр 95;2.8;3;2;4;Это великолепное здание!
Хаус 80;3.3;4;5;4;Это здание не имеет особых архитектурных особенностей.
Тенета 79;4.8;5;4;2;Это здание не имеет особых архитектурных особенностей.
Академия 83;4.3;3;1;2;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Муравейник 83;0.9;5;5;2;Это здание построено из стандартных строительных материалов.
Лежбище 4;3.8;5;3;5;Это здание имеет стандартную конструкцию.
Бункер 39;4.7;2;1;3;Это здание построено из стандартных строительных материалов.
Гусятник 3;4.9;3;5;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Силок 64;4.0;3;4;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Док 39;2.2;2;1;3;Это здание представляет собой типичный образец современной архитектуры.
Скворечник 47;1.3;1;1;5;Это здание является примером функционального дизайна.
Ферма 90;1.8;4;4;5;У этого здания отличная архитектура.
Виадук 40;3.2;4;2;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Путепровод 49;4.0;5;5;2;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Цирк 24;1.6;3;1;1;Это здание прекрасно вписывается в окружающий ландшафт.
Особняк 89;1.9;5;1;5;Это здание является примером функционального дизайна.
Термитник 49;2.2;4;3;2;Это здание прекрасно вписывается в окружающий ландшафт.
Логово 46;3.0;1;4;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
ТЭЦ 61;1.9;2;5;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Хаус 80;2.8;5;2;3;Это здание представляет собой типичный образец современной архитектуры.
Путепровод 49;2.3;4;2;3;Это здание представляет собой типичный образец современной архитектуры.
Университет 52;0.6;2;4;4;Это здание является примером функционального дизайна.
Цирк 11;1.0;4;5;1;Это здание является примером функционального дизайна.
Архив 58;4.9;2;4;2;Это здание очень функционально.
Муравейник 83;0.7;2;2;2;Мне нравится дизайн этого здания.
Логово 46;0.6;3;5;2;Это здание представляет собой типичный образец современной архитектуры.
Академия 83;0.2;3;5;1;Мне нравится дизайн этого здания.
ТЭЦ 61;2.7;5;2;3;Это здание имеет стандартную конструкцию.
Мансарда 79;3.0;1;1;5;Это здание является примером функционального дизайна.
 Вилла 47;1.9;5;5;4;Это здание имеет стандартную конструкцию.
Бункер 39;3.9;1;4;3;Это здание не имеет особых архитектурных особенностей.
Сеть 1;4.2;2;5;4;Это здание очень функционально.
Виадук 40;1.0;3;5;3;Это здание представляет собой типичный образец современной архитектуры.
Бункер 39;3.6;4;3;1;Это здание является примером функционального дизайна.
Скворечник 47;2.4;4;5;2;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Скворечник 47;1.6;3;5;5;У этого здания отличная архитектура.
Гусятник 3;2.5;2;2;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Театр 95;2.6;1;1;2;Это здание не имеет особых архитектурных особенностей.
Сеть 95;1.1;2;5;2;Это здание представляет собой типичный образец современной архитектуры.
Порт 4;3.7;5;4;1;Это здание имеет стандартную конструкцию.
Цирк 11;1.6;4;1;1;Это здание имеет стандартную конструкцию.
Детский сад 18;0.3;4;3;5;Это здание не имеет особых архитектурных особенностей.
Гараж 6;3.3;3;3;2;Это здание построено из стандартных строительных материалов.
Чердак 89;3.4;5;5;5;Это здание является примером функционального дизайна.
Дуплянка 76;4.1;2;3;3;Мне нравится дизайн этого здания.
Хаус 80;2.8;4;2;5;Это здание построено из стандартных строительных материалов.
Цирк 47;4.0;2;4;5;Это здание построено из стандартных строительных материалов.
Тенета 79;3.9;1;1;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Театр 40;4.1;2;4;2;Это здание не имеет особых архитектурных особенностей.
Утятник 39;3.1;5;4;1;Это здание имеет стандартную конструкцию.
Порт 4;1.3;1;2;3;Это здание имеет стандартную конструкцию.
Лежбище 4;2.1;3;4;2;Это здание построено из стандартных строительных материалов.
Мостки 79;1.1;4;2;5;Это здание прекрасно вписывается в окружающий ландшафт.
Убежище 86;4.5;2;2;5;Это здание не имеет особых архитектурных особенностей.
Тенета 79;4.9;1;4;3;Это здание представляет собой типичный образец современной архитектуры.
Тенета 79;0.2;1;3;4;Это здание представляет собой типичный образец современной архитектуры.
Порт 4;0.1;4;5;4;Это здание прекрасно вписывается в окружающий ландшафт.
Ангар 29;0.8;4;5;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Сеть 95;1.5;2;2;4;Это здание построено из стандартных строительных материалов.
Гусятник 3;3.3;2;5;3;У этого здания отличная архитектура.
Дуплянка 76;1.0;4;4;5;Это здание построено из стандартных строительных материалов.
Тенета 79;1.8;3;1;4;Это здание представляет собой типичный образец современной архитектуры.
